cities,count,first_date,last_date,lat,lon
Seoul,6,2012-11-19 15:44:35 -0500,2013-09-24 03:32:11 -0400,37.566,126.9784
Nice,5,2013-02-01 00:58:18 -0500,2013-11-25 18:39:31 -0500,43.70313,7.26608
Jeonju,1,2013-11-27 19:32:03 -0500,2013-11-27 19:32:03 -0500,35.82194,127.14889
New York City,2,2013-12-13 10:10:51 -0500,2013-12-21 10:28:34 -0500,40.71427,-74.00597
Paris,1,2013-12-21 10:28:34 -0500,2013-12-21 10:28:34 -0500,48.85341,2.3488
London,1,2013-12-21 10:28:34 -0500,2013-12-21 10:28:34 -0500,51.50853,-0.12574
Berlin,1,2013-12-21 10:28:34 -0500,2013-12-21 10:28:34 -0500,52.52437,13.41053
Busan,1,2013-12-28 13:46:55 -0500,2013-12-28 13:46:55 -0500,35.10278,129.04028
Daejeon,1,2013-12-28 13:46:55 -0500,2013-12-28 13:46:55 -0500,36.32139,127.41972
Cheonan,1,2013-09-11 17:11:52 -0400,2013-09-11 17:11:52 -0400,36.8065,127.1522
Korea,1,2014-01-20 13:45:53 -0500,2014-01-20 13:45:53 -0500,37.94203,-83.47852
